Date : 2022-05-31 16:31:39
Directory : c:\Users\yamamototd\Desktop\work\flutter\dailyreport
Total : 60 files,  3895 codes, 514 comments, 482 blanks, all 4891 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         25 |      2,905 |        343 |        281 |      3,529 |
| C++        |         11 |        408 |         80 |        132 |        620 |
| JSON       |          4 |        226 |          0 |          3 |        229 |
| XML        |          9 |        123 |         46 |         11 |        180 |
| Groovy     |          3 |         94 |          3 |         22 |        119 |
| HTML       |          1 |         80 |         18 |          7 |        105 |
| YAML       |          2 |         26 |         23 |         13 |         62 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |         60 |      3,895 |        514 |        482 |      4,891 |
| android                                                                                                            |         13 |        210 |         48 |         33 |        291 |
| android\app                                                                                                        |          9 |        166 |         47 |         22 |        235 |
| android\app\src                                                                                                    |          7 |         62 |         44 |          9 |        115 |
| android\app\src\debug                                                                                              |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                               |          5 |         54 |         38 |          7 |         99 |
| android\app\src\main\res                                                                                           |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                  |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                              |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                    |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                              |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                            |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                     |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                             |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                                |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                         |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                                         |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                      |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                    |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                              |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                |         24 |      2,891 |        333 |        274 |      3,498 |
| lib\add_book                                                                                                       |          2 |        216 |         33 |         24 |        273 |
| lib\add_setting                                                                                                    |          2 |        377 |         28 |         30 |        435 |
| lib\book_list                                                                                                      |          2 |        287 |         99 |         35 |        421 |
| lib\domain                                                                                                         |          3 |         32 |          0 |          4 |         36 |
| lib\edit_book                                                                                                      |          2 |        167 |          8 |         19 |        194 |
| lib\edit_setting                                                                                                   |          2 |        329 |         18 |         20 |        367 |
| lib\homepage                                                                                                       |          2 |        529 |        118 |         53 |        700 |
| lib\login                                                                                                          |          2 |        182 |          2 |         17 |        201 |
| lib\register                                                                                                       |          2 |        124 |          3 |         15 |        142 |
| lib\setting                                                                                                        |          4 |        627 |         24 |         54 |        705 |
| test                                                                                                               |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                |          2 |        115 |         18 |          8 |        141 |
| windows                                                                                                            |         10 |        407 |         80 |        131 |        618 |
| windows\flutter                                                                                                    |          2 |         11 |          9 |         11 |         31 |
| windows\runner                                                                                                     |          8 |        396 |         71 |        120 |        587 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                           | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\README.md                                                     | Markdown   |         10 |          0 |          7 |         17 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\analysis_options.yaml                                         | YAML       |          3 |         23 |          4 |         30 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\build.gradle                                      | Groovy     |         58 |          3 |         13 |         74 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\google-services.json                              | JSON       |         46 |          0 |          0 |         46 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\src\debug\AndroidManifest.xml                     | XML        |          4 |          3 |          1 |          8 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\src\main\AndroidManifest.xml                      | XML        |         28 |          6 |          1 |         35 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\src\main\res\drawable-v21\launch_background.xml   | XML        |          4 |          7 |          2 |         13 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\src\main\res\drawable\launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\src\main\res\values-night\styles.xml              | XML        |          9 |          9 |          1 |         19 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\src\main\res\values\styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\src\profile\AndroidManifest.xml                   | XML        |          4 |          3 |          1 |          8 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\build.gradle                                          | Groovy     |         28 |          0 |          5 |         33 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\gradle.properties                                     | Properties |          3 |          0 |          1 |          4 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\gradle\wrapper\gradle-wrapper.properties              | Properties |          5 |          1 |          1 |          7 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\settings.gradle                                       | Groovy     |          8 |          0 |          4 |         12 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\Base.lproj\Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\add_book\add_book_model.dart                              | Dart       |         61 |          1 |         13 |         75 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\add_book\add_book_page.dart                               | Dart       |        155 |         32 |         11 |        198 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\add_setting\add_setting_model.dart                        | Dart       |         49 |          1 |         13 |         63 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\add_setting\add_setting_page.dart                         | Dart       |        328 |         27 |         17 |        372 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\book_list\book_list_model.dart                            | Dart       |        104 |          2 |         22 |        128 |
