"filename", "language", "YAML", "Markdown", "C++", "JSON", "XML", "Dart", "Swift", "Groovy", "Properties", "HTML", "comment", "blank", "total"
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 1, 38
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 1, 30
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\add_book\add_book_model.dart", "Dart", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 1, 13, 76
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\add_book\add_book_page.dart", "Dart", 0, 0, 0, 0, 0, 260, 0, 0, 0, 0, 67, 52, 379
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\add_setting\add_setting_model.dart", "Dart", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 1, 15, 71
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\add_setting\add_setting_page.dart", "Dart", 0, 0, 0, 0, 0, 457, 0, 0, 0, 0, 1, 54, 512
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\book_list\book_list_model.dart", "Dart", 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 4, 26, 169
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\book_list\book_list_page.dart", "Dart", 0, 0, 0, 0, 0, 229, 0, 0, 0, 0, 98, 13, 340
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\domain\book.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\domain\homepage.dart", "Dart", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\domain\setting.dart", "Dart", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\edit_book\edit_book_model.dart", "Dart", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 1, 10, 70
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\edit_book\edit_book_page.dart", "Dart", 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 6, 8, 119
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\edit_setting\edit_setting_model.dart", "Dart", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 2, 13, 75
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\edit_setting\edit_setting_page.dart", "Dart", 0, 0, 0, 0, 0, 397, 0, 0, 0, 0, 10, 49, 456
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\homepage\report_home_model.dart", "Dart", 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 7, 28, 201
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\homepage\report_home_page.dart", "Dart", 0, 0, 0, 0, 0, 521, 0, 0, 0, 0, 14, 68, 603
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\login\login_model.dart", "Dart", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 1, 13, 79
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\login\login_page.dart", "Dart", 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 3, 4, 141
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\register\register_model.dart", "Dart", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 2, 18, 81
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\register\register_page.dart", "Dart", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 1, 3, 85
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\setting\icon_select_model.dart", "Dart", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 12, 66
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\setting\icon_select_page.dart", "Dart", 0, 0, 0, 0, 0, 903, 0, 0, 0, 0, 0, 54, 957
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\setting\setting_list_page.dart", "Dart", 0, 0, 0, 0, 0, 395, 0, 0, 0, 0, 25, 61, 481
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\setting\setting_model.dart", "Dart", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 3, 14, 89
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\pubspec.yaml", "YAML", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 32
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 10, 7, 31
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 18, 7, 105
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\runner\flutter_window.cpp", "C++", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\runner\flutter_window.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\runner\main.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\runner\resource.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\runner\utils.cpp", "C++", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\runner\utils.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\runner\win32_window.cpp", "C++", 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\runner\win32_window.h", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 26, 13, 408, 226, 126, 4342, 12, 107, 8, 80, 429, 745, 6522
